feature,mean_abs_shap_in_saved_sample
prod_codigo_zae,2.8808647231048887
prod_ingenio,2.584781441313423
optical_cire_peak_0_180,2.525658078570533
optical_ndre_peak_0_180,2.303693815384135
cycle_age_max,2.084315525537683
optical_ndvire_peak_0_180,2.0541820676938616
prod_no_corte,2.002253156954004
optical_ndvi_peak_0_180,1.8551344030054628
climate_tmean_mean_0_180,1.4939901506300997
optical_ndvi_amplitude_0_180,1.397398048805545
optical_ndvi_mean_0_180,1.1845099203321863
prod_variedad,1.1521494921401283
optical_cire_amplitude_0_180,1.116127605672728
climate_precip_acc_0_90,1.1066697453973384
climate_tmean_slope_0_180,1.070401545334874
optical_evi2_mean_0_180,1.0571587964563083
optical_ndvi_auc_0_180,1.007856039627792
enso_nino34_precycle_mean,0.9628407827763307
optical_ndre_mean_0_180,0.9620003710069952
enso_el_nino_fraction_asof,0.857840390925599
optical_ndvi_auc_91_180,0.8003229751805402
optical_cire_auc_0_180,0.7324739879917647
optical_cire_auc_91_180,0.7056966463864451
climate_heat_pentad_count_0_180,0.6884575720015711
prod_familia_de_suelo,0.6376084673868357
optical_ndwi11_auc_91_180,0.6328958889074322
enso_oni_asof_mean,0.6049174638372038
climate_tmax_mean_0_180,0.5955329817515603
optical_lswi_auc_91_180,0.5796201327934161
optical_lswi_mean_91_180_minus_0_90,0.5771740020969873
cutoff_date,0.5604200941609208
optical_gndvi_slope_0_180,0.5436268727205643
optical_msi11_auc_91_180,0.5298145198689695
optical_ndvi_mean_91_180,0.5265455654281028
climate_precip_slope_0_180,0.5090201210352617
climate_dry_fraction_0_180,0.481352104463403
optical_lswi_mean_91_180,0.4766072327946463
enso_oni_abs_max_asof,0.47393924332475346
optical_cire_mean_0_180,0.45237562914867213
prod_grupo_de_humedad,0.4401853380997292
climate_eto_acc_0_180,0.42422907080724165
optical_ndvi_duration_above_80pct_peak_0_180,0.40846543941823393
climate_dry_pentad_count_0_180,0.4083719839663724
prod_grupo_de_suelo,0.38690839842153685
climate_rh_mean_0_180,0.38020114483679956
climate_water_balance_acc_91_180,0.37602299557335284
climate_water_balance_acc_0_90,0.37369546963370887
optical_evi2_peak_0_180,0.3638763068783994
optical_gndvi_peak_0_180,0.36294466208316206
optical_gndvi_mean_0_180,0.35196217258622275
optical_ndre_mean_91_180,0.34238843165806027
optical_ndvire_amplitude_0_180,0.3254870713244689
enso_la_nina_fraction_asof,0.3237957121831705
optical_ndre_auc_91_180,0.31735004729431604
optical_ndwi11_mean_91_180,0.3144172683472308
optical_ndvi_age_at_peak_0_180,0.313017154732399
climate_tmin_mean_0_180,0.30501846912362773
optical_msi11_mean_91_180,0.3040145473226163
enso_soi_asof_mean,0.2859917664652153
optical_cire_mean_91_180,0.2843205958600476
climate_water_balance_slope_0_180,0.27840784144499287
optical_ndre_slope_0_180,0.2671188675921062
climate_rad_acc_0_180,0.25494661252641065
optical_evi2_slope_0_180,0.2479493967134793
climate_precip_acc_0_180,0.21748327229211709
optical_evi2_amplitude_0_180,0.2032394975912935
climate_gdd_10c_acc_0_180,0.20116034041283956
climate_precip_acc_91_180,0.19149329935990972
enso_soi_precycle_mean,0.18578026664826233
climate_water_balance_acc_0_180,0.18515212176598914
optical_ndvi_last_value_before_180,0.1760578244034907
optical_ndvi_mean_91_180_minus_0_90,0.16786845991471627
optical_ndre_amplitude_0_180,0.16450117177918888
optical_ndre_age_at_peak_0_180,0.15225202985524028
enso_nino34_asof_mean,0.14944071065896478
optical_ndvire_mean_91_180,0.13979795623716887
optical_gndvi_amplitude_0_180,0.13235008177775182
optical_ndvi_slope_0_180,0.13042241709782046
optical_evi2_auc_91_180,0.12378241763124884
optical_evi2_mean_91_180,0.12235943606208594
climate_rad_slope_0_180,0.12043161205415169
climate_water_ratio_0_180,0.1151474560201701
enso_oni_precycle_mean,0.11499131625908192
optical_gndvi_mean_91_180,0.11403007156561984
optical_ndvire_auc_91_180,0.11101759194113513
optical_obs_count_0_180,0.11087034039169093
optical_gndvi_auc_91_180,0.09070869154238151
optical_last_obs_age_0_180,0.07605039834142649
optical_first_obs_age_0_180,0.057176931012944035
optical_max_gap_days_0_180,0.03165015927810876
enso_month_count_asof,0.02942412429723479
climate_pentad_count_0_180,0.027399357946024144
climate_max_gap_days_0_180,0.008573094847680027
cutoff_age_days,0.0
